text,label,cleaned_text
"A novel by Remarque. A cast that looks great on paper. A left-wing refugee struggling to remain in Paris between the wars. A Gestapo officer undercover.<br /><br />It's a pity there's no synergy here. The bits and pieces never coalesce.<br /><br />Stories about left-wing refugees in France don't have to be this dull. Read Arthur Koestler's memoir ""Scum of the Earth"" (if you can find it). Or his chilling ""Dialogue With Death"" (ditto).<br /><br />To me, the only interest in this film lies in some of the incidental details.<br /><br />The leads spend a lot of time drinking calvados, the Norman apple brandy. I welcome any prompting to have a nip of calvados myself. It certainly made this film appear to pass more quickly. But, according to the film, it's only sold in cheap, low-class saloons. Vive le tabac parisien! That's what I say. References to intoxicating liquors do abound here; that would seem to be a preoccupation of the scenarists.<br /><br />I enjoy films set in France because it can be amusing waiting for the inevitable full-size alcohol ad to pop up on a wall in the background. I wasn't disappointed. This time it was for Byrrh, a very unusual choice. This film would rate a 10 if only we were judging it on the refinement of its booze murals.<br /><br />The film's indifferent score is by Louis Gruenberg. Gruenberg is best known -- if you can call it that -- for his opera ""The Emperor Jones"", based on the O'Neill play. It premièred at roughly the same time as the film version starring Paul Robeson. The opera survives today in a recording or two by Lawrence Tibbett. It should surface again soon though; they're running out of potentially marketable operas to revive.<br /><br />Opera seems an appropriate subject to mention here since Charles Boyer's character operates under his ""Czech"" aliases. Two of them are ""Wozzeck"" and ""Gunther"", both prominent roles in German opera. Is that just coincidence?<br /><br />Name-dropping just seems to be part of this film. Notice that they call up ""Himmelstoss"" on the phone. Himmelstoss happens to be one of the main characters in Remarque's earlier ""All Quiet on the Western Front"".<br /><br />Well, the in-jokes are all in place; guess there wasn't time to develop any drama.",0,a novel by remarque a cast that looks great on paper a leftwing refugee struggling to remain in paris between the wars a gestapo officer undercoverits a pity theres no synergy here the bits and pieces never coalescestories about leftwing refugees in france dont have to be this dull read arthur koestlers memoir scum of the earth if you can find it or his chilling dialogue with death dittoto me the only interest in this film lies in some of the incidental detailsthe leads spend a lot of time drinking calvados the norman apple brandy i welcome any prompting to have a nip of calvados myself it certainly made this film appear to pass more quickly but according to the film its only sold in cheap lowclass saloons vive le tabac parisien thats what i say references to intoxicating liquors do abound here that would seem to be a preoccupation of the scenaristsi enjoy films set in france because it can be amusing waiting for the inevitable fullsize alcohol ad to pop up on a wall in the background i wasnt disappointed this time it was for byrrh a very unusual choice this film would rate a if only we were judging it on the refinement of its booze muralsthe films indifferent score is by louis gruenberg gruenberg is best known if you can call it that for his opera the emperor jones based on the oneill play it premièred at roughly the same time as the film version starring paul robeson the opera survives today in a recording or two by lawrence tibbett it should surface again soon though theyre running out of potentially marketable operas to reviveopera seems an appropriate subject to mention here since charles boyers character operates under his czech aliases two of them are wozzeck and gunther both prominent roles in german opera is that just coincidencenamedropping just seems to be part of this film notice that they call up himmelstoss on the phone himmelstoss happens to be one of the main characters in remarques earlier all quiet on the western frontwell the injokes are all in place guess there wasnt time to develop any drama
"Prue and Piper bring Dr. Griffiths to their home to save him from the Sauce's assassin Shax. While Phoebe looks in the Book of Shadow how to vanquish the demon, Prue and Piper fight and chase Shax on the streets to destroy him. However, they are filmed and exposed live in the television news as witches. They become national sensation with a crowd in front of their house. Phoebe trusts on Cole and goes to the underworld with Leo to ask him to summon Tempus and revert time while a fanatic woman shots Piper, who dies. The source proposes Phoebe to stay with him and in return he would save her sister. Phoebe accepts the deal, and the time is reverted to the moment Shax is attacking Prue, Piper and Dr. Griffits.<br /><br />""All Hell Breaks Loose"" is a good but incoherent episode. With Piper dead and The Power of Three destroyed, why should The Source revert time to save her? But this dramatic show is certainly one of the best of the Third Season and let the viewers anxiously waiting for the next episode. My vote is nine.<br /><br />Title (Brazil): ""Voltando no Tempo"" (""Back in Time"")",1,prue and piper bring dr griffiths to their home to save him from the sauces assassin shax while phoebe looks in the book of shadow how to vanquish the demon prue and piper fight and chase shax on the streets to destroy him however they are filmed and exposed live in the television news as witches they become national sensation with a crowd in front of their house phoebe trusts on cole and goes to the underworld with leo to ask him to summon tempus and revert time while a fanatic woman shots piper who dies the source proposes phoebe to stay with him and in return he would save her sister phoebe accepts the deal and the time is reverted to the moment shax is attacking prue piper and dr griffitsall hell breaks loose is a good but incoherent episode with piper dead and the power of three destroyed why should the source revert time to save her but this dramatic show is certainly one of the best of the third season and let the viewers anxiously waiting for the next episode my vote is ninetitle brazil voltando no tempo back in time
"I watched this movie the other night, and I have to admit, it was quite possibly the best film of this generation. Turns out I wasn't born until 1988, but I can relate to this motion picture like Cary Grant can relate to having an STD, or Burt Reynolds to being a burnout. Marky Mark did not decline in awesomeness after his brief stint in New Kids on the Block, which I will from here on refer to as ""the best band in the world (aka BBW). Like, it's totally a morality tale about fargin' trannies an' poop, so pay attention! I love all y'all, and continue to support Marky Msrk because he needs us now more than ever. He's the only boyee who survived the De-sharted.",1,i watched this movie the other night and i have to admit it was quite possibly the best film of this generation turns out i wasnt born until but i can relate to this motion picture like cary grant can relate to having an std or burt reynolds to being a burnout marky mark did not_decline in awesomeness after his brief stint in new kids on the block which i will from here on refer to as the best band in the world aka bbw like its totally a morality tale about fargin trannies an poop so pay attention i love all yall and continue to support marky msrk because he needs us now more than ever hes the only boyee who survived the desharted
"I have NEVER EVER seen such a bad movie before. The scene where they shoot some guy.. The pistol don`t even shoot. Damn that is baad. The scene with the boy is even not that good. no script, not any good sound, not anything good to say about this movie..",0,i have never ever seen such a bad movie before the scene where they shoot some guy the pistol dont even shoot damn that is baad the scene with the boy is even not_that good no script not_any good sound not_anything good to say about this movie
"Explores the frontiers of extreme boredom. Life in a small Canadian town in winter as an experiment in extreme sensory deprivation. Absolutely nothing happens as viewed through the eyes of a blank, deadpan, totally uninteresting protagonist. Viewers of this film should be prepared to hallucinate in the style of ""Altered States"".<br /><br />In a groundbreaking study, David Snowden found that he could predict Alzheimer's thirty years in advance by comparing the autobiographical essays of nuns as they entered the convent. Those who eventually suffered the disease wrote in simple direct prose. The essays were quiet and contemplative with little optimism or episodes of joy.<br /><br />Now, why did I mention that? Perhaps , my mind begins to slowly unravel watching this interminable, autobiographical, contemplative film which shows, in simple direct style, the bleak and stoic life of a small community, living next to giant slag heaps of asbestos.<br /><br />This film became popular at the height of the Quebec separatist movement because of its presentation of this community as permanently wounded victims. Tragically, its writer-director was soon diagnosed with Alzheimer's disease in the early 1980s and apparently committed suicide.",0,explores the frontiers of extreme boredom life in a small canadian town in winter as an experiment in extreme sensory deprivation absolutely nothing happens as viewed through the eyes of a blank deadpan totally uninteresting protagonist viewers of this film should be prepared to hallucinate in the style of altered statesin a groundbreaking study david snowden found that he could predict alzheimers thirty years in advance by comparing the autobiographical essays of nuns as they entered the convent those who eventually suffered the disease wrote in simple direct prose the essays were quiet and contemplative with little optimism or episodes of joynow why did i mention that perhaps my mind begins to slowly unravel watching this interminable autobiographical contemplative film which shows in simple direct style the bleak and stoic life of a small community living next to giant slag heaps of asbestosthis film became popular at the height of the quebec separatist movement because of its presentation of this community as permanently wounded victims tragically its writerdirector was soon diagnosed with alzheimers disease in the early s and apparently committed suicide
"Halfway through Lajos Koltai's ""Evening,"" a woman on her deathbed asks a figure appearing in her hallucination: ""Can you tell me where my life went?"" The line could be embarrassingly theatrical, but the woman speaking it is Vanessa Redgrave, delivering it with utter simplicity, and the question tears your heart out.<br /><br />Time and again, the film based on Susan Minot's novel skirts sentimentality and ordinariness, it holds attention, offers admirable performances, and engenders emotional involvement as few recent movies have. With only six months of the year gone, there are now two memorable, meaningful, worthwhile films in theaters, the other, of course, being Sara Polley's ""Away from Her."" Hollywood might have turned ""Evening"" into a slick celebrity vehicle with its two pairs of real-life mothers and daughters - Vanessa Redgrave and Natasha Richardson, and Meryl Streep and Mamie Gummer. Richardson is Redgrave's daughter in the film (with a sister played by Tony Collette), and Gummer plays Streep's younger self, while Redgrave's youthful incarnation is Claire Danes.<br /><br />Add Glenn Close, Eileen Atkins, Hugh Dancy, Patrick Wilson, and a large cast - yes, it could have turned into a multiple star platform. Instead, Koltai - the brilliant Hungarian cinematographer of ""Mephisto,"" and director of ""Fateless"" - created a subtle ensemble work with a ""Continental feel,"" the story taking place in a high-society Newport environment, in the days leading up to a wedding that is fraught with trouble.<br /><br />Missed connections, wrong choices, and dutiful compliance with social and family pressures present quite a soap opera, but the quality of the writing, Koltai's direction, and selfless acting raise ""Evening"" way above that level, into the the rarified air of English, French (and a few American) family sagas from a century before its contemporary setting.<br /><br />Complex relationships between mothers and daughters, between friends and lovers, with the addition of a difficult triangle all come across clearly, understandably, captivatingly. Individual tunes are woven into a symphony.<br /><br />And yet, with the all the foregoing emphasis on ensemble and selfless performances, the stars of ""Evening"" still shine through, Redgrave, Richardson, Gummer (an exciting new discovery, looking vaguely like her mother, but a very different actress), Danes carrying most of the load - until Streep shows up in the final moments and, of course, steals the show. Dancy and Wilson are well worth the price of admission too.<br /><br />As with ""Away from Her,"" ""Evening"" stays with you at length, inviting a re-thinking its story and characters, and re-experiencing the emotions it raises. At two hours, the film runs a bit long, but the way it stays with you thereafter is welcome among the many movies that go cold long before your popcorn.",1,halfway through lajos koltais evening a woman on her deathbed asks a figure appearing in her hallucination can you tell me where my life went the line could be embarrassingly theatrical but the woman speaking it is vanessa redgrave delivering it with utter simplicity and the question tears your heart outtime and again the film based on susan minots novel skirts sentimentality and ordinariness it holds attention offers admirable performances and engenders emotional involvement as few recent movies have with only six months of the year gone there are now two memorable meaningful worthwhile films in theaters the other of course being sara polleys away from her hollywood might have turned evening into a slick celebrity vehicle with its two pairs of reallife mothers and daughters vanessa redgrave and natasha richardson and meryl streep and mamie gummer richardson is redgraves daughter in the film with a sister played by tony collette and gummer plays streeps younger self while redgraves youthful incarnation is claire danesadd glenn close eileen atkins hugh dancy patrick wilson and a large cast yes it could have turned into a multiple star platform instead koltai the brilliant hungarian cinematographer of mephisto and director of fateless created a subtle ensemble work with a continental feel the story taking place in a highsociety newport environment in the days leading up to a wedding that is fraught with troublemissed connections wrong choices and dutiful compliance with social and family pressures present quite a soap opera but the quality of the writing koltais direction and selfless acting raise evening way above that level into the the rarified air of english french and a few american family sagas from a century before its contemporary settingcomplex relationships between mothers and daughters between friends and lovers with the addition of a difficult triangle all come across clearly understandably captivatingly individual tunes are woven into a symphonyand yet with the all the foregoing emphasis on ensemble and selfless performances the stars of evening still shine through redgrave richardson gummer an exciting new discovery looking vaguely like her mother but a very different actress danes carrying most of the load until streep shows up in the final moments and of course steals the show dancy and wilson are well worth the price of admission tooas with away from her evening stays with you at length inviting a rethinking its story and characters and reexperiencing the emotions it raises at two hours the film runs a bit long but the way it stays with you thereafter is welcome among the many movies that go cold long before your popcorn
"Was lucky enough to be an extra in this great film and loved every minute of the filming. Went to the premier in London and had a great chat to Phil, Peter, Martin, and Jon as did my wife.Fantastic after party too. Then a few weeks later had trip to the cinema with members of our bike club. What a brilliant film, it deserves to be up there with all the great biker films. Now we have the DVD Sue my wife can't get enough of it neither can the kids. Get a bit of stick from the club who seem to think I'm a film star now oh well one can only dream. I think they are just jealous. The only downside of the first part of the filming was the weather, rain, rain and more rain but hey we was in Wales. Hopefully there will be a follow up so keep me posted Jon. Danny Beck",1,was lucky enough to be an extra in this great film and loved every minute of the filming went to the premier in london and had a great chat to phil peter martin and jon as did my wifefantastic after party too then a few weeks later had trip to the cinema with members of our bike club what a brilliant film it deserves to be up there with all the great biker films now we have the dvd sue my wife cant get enough of it neither can the kids get a bit of stick from the club who seem to think im a film star now oh well one can only dream i think they are just jealous the only downside of the first part of the filming was the weather rain rain and more rain but hey we was in wales hopefully there will be a follow up so keep me posted jon danny beck
"This film has been scaring me since the first day I saw it.<br /><br />My Mum had watched it when it was on the telly back in '92. I remember being woken up in the middle of the night by her tearful ramblings as my Dad helped her up the stairs.<br /><br />She was saying something like ""Don't let her get me"" or something like that. I asked what had made her so upset and she told me that she'd been watching The Woman in Black.<br /><br />So obviously i had to watch it and even though i was only eleven she let me. It scared the s*** out of me. I've been immune to horror films since watching this!",1,this film has been scaring me since the first day i saw itmy mum had watched it when it was on the telly back in i remember being woken up in the middle of the night by her tearful ramblings as my dad helped her up the stairsshe was saying something like dont let her get me or something like that i asked what had made her so upset and she told me that shed been watching the woman in blackso obviously i had to watch it and even though i was only eleven she let me it scared the s out of me ive been immune to horror films since watching this
"If you are having a bad day,or bad week. If you are looking for a film that will make you laugh and forget about your troubles. I don't think Role Models is that movie for you.<br /><br />The film centers around Danny(Paul Rudd) and Wheeler(Seann William Scott) Two juice promoters, who go to schools promoting the product, telling kids to stay off drugs, and more juice. But Danny is having the worst week ever, and crashes his company car, with Wheeler in the seat next to him. His soon to be ex girlfriend Beth(Elizabeth Banks) who is a lawyer, manages to avoid getting them jail time, by doing hours of community service, volunteering at a big brother place called Sturdy Wings led by Gayle(Jane Lynch). Wheeler is assigned to Ronnie(Bobb'e J Thompson) who is 10 years old, and has a foul mouth like he's Chris Rock. Danny is assigned to Augie(McLovins, Christopher Mintz-Plasse) who likes to dress like a knight, and fight like he is in medieval times. But will this be good for Danny and Wheeler, or will they be better off in jail?<br /><br />Okay I'm not gonna beat around the bush, this movie was very unpleasant in many ways. Namely the Ronnie character, hearing those bad words coming out of a kid that young, was very shocking. If he was a little bit older, it would not have mater'd as much. I mean what where his parents thinking, when they sign'd him on to this. Elizabeth Banks character is so unwatchable, maybe I was supposed to feel bad for her character, but I felt nothing, because she is annoyingly predictably portrayed as a female who would be played in these types of comedies. And Jane Lynch, who's the worst of the worst. She delivers the most overacting performance ever. Playing a former drug addict, who acts like she still is on drugs. Listening to her give all that annoying dialog, made me want to throw my head up against the wall. Seann William Scott once again playing another Stifler like character, he should really try to separate himself, and this film won't do it. And the more Scott tries to hard to be funny, is what keeps him from being funny.<br /><br />Now Paul Rudd on the other hand, I'm gonna separate from the others in the film, cause he manages to deliver a solid performance, although he does not get higher laughs, but he is the most interesting character from the rest. Cause Rudd does not overact, and does not try so hard. The scenes with him and Mintz-Plasse are watchable. But the rest of the film is so stupid, it picks up at times. But it becomes so predictable and uninteresting. It is a reminder that these types of comedies try nothing new, there all the same, they take no chances. Role Models is an example of that.",0,if you are having a bad dayor bad week if you are looking for a film that will make you laugh and forget about your troubles i dont think role models is that movie for youthe film centers around dannypaul rudd and wheelerseann william scott two juice promoters who go to schools promoting the product telling kids to stay off drugs and more juice but danny is having the worst week ever and crashes his company car with wheeler in the seat next to him his soon to be ex girlfriend bethelizabeth banks who is a lawyer manages to avoid getting them jail time by doing hours of community service volunteering at a big brother place called sturdy wings led by gaylejane lynch wheeler is assigned to ronniebobbe j thompson who is years old and has a foul mouth like hes chris rock danny is assigned to augiemclovins christopher mintzplasse who likes to dress like a knight and fight like he is in medieval times but will this be good for danny and wheeler or will they be better off in jailokay im not_gonna beat around the bush this movie was very unpleasant in many ways namely the ronnie character hearing those bad words coming out of a kid that young was very shocking if he was a little bit older it would not_have materd as much i mean what where his parents thinking when they signd him on to this elizabeth banks character is so unwatchable maybe i was supposed to feel bad for her character but i felt nothing because she is annoyingly predictably portrayed as a female who would be played in these types of comedies and jane lynch whos the worst of the worst she delivers the most overacting performance ever playing a former drug addict who acts like she still is on drugs listening to her give all that annoying dialog made me want to throw my head up against the wall seann william scott once again playing another stifler like character he should really try to separate himself and this film wont do it and the more scott tries to hard to be funny is what keeps him from being funnynow paul rudd on the other hand im gonna separate from the others in the film cause he manages to deliver a solid performance although he does not_get higher laughs but he is the most interesting character from the rest cause rudd does not_overact and does not_try so hard the scenes with him and mintzplasse are watchable but the rest of the film is so stupid it picks up at times but it becomes so predictable and uninteresting it is a reminder that these types of comedies try nothing new there all the same they take no chances role models is an example of that
"Peter Fonda is so intentionally enervated as an actor that his lachrymose line-readings cancel out any irony or humor in the dialogue. He trades sassy barbs and non-witty repartee with Brooke Shields as if he were a wooden block with receding hair; even his smaller touches (like fingering a non-existent mustache on his grizzled face) don't reveal a character so much as an unsure actor being directed by himself, an unsure filmmaker. In the Southwest circa 1950, a poor gambler (not above a little cheating) wins an orphaned, would-be teen Lolita in a botched poker game; after getting hold of a treasure map promising gold in the Grand Canyon, the bickering twosome become prospectors. Some lovely vistas, and an odd but interesting cameo by Henry Fonda as a grizzled canyon man, are the sole compensations in fatigued comedy-drama, with the two leads being trailed by cartoonish killers who will stop at nothing until they get their hands on that map. Shields is very pretty, but--although the camera loves her pouty, glossy beauty--she has no screen presence (and her tinny voice has no range whatsoever); every time she opens her mouth, one is inclined to either cringe or duck. *1/2 from ****",0,peter fonda is so intentionally enervated as an actor that his lachrymose linereadings cancel out any irony or humor in the dialogue he trades sassy barbs and nonwitty repartee with brooke shields as if he were a wooden block with receding hair even his smaller touches like fingering a nonexistent mustache on his grizzled face dont reveal a character so much as an unsure actor being directed by himself an unsure filmmaker in the southwest circa a poor gambler not_above a little cheating wins an orphaned wouldbe teen lolita in a botched poker game after getting hold of a treasure map promising gold in the grand canyon the bickering twosome become prospectors some lovely vistas and an odd but interesting cameo by henry fonda as a grizzled canyon man are the sole compensations in fatigued comedydrama with the two leads being trailed by cartoonish killers who will stop at nothing until they get their hands on that map shields is very pretty butalthough the camera loves her pouty glossy beautyshe has no screen presence and her tinny voice has no range whatsoever every time she opens her mouth one is inclined to either cringe or duck from
